reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0321d976-0cc8-4143-9f05-7574651dab78,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"knp ya akhir"" ini Qris BCA susah di akses. loading banget ga muncul"" barcode nya. ga bisa di ajak buru"". alhasil pake akun bank yg lain. padahal peruntukannya beda. Tolong diperbaiki lagi ya.. trimakasih",4,0,4.7.9,2026-03-30 05:08:15,"Mohon maaf atas kendala yang Bapak/Ibu alami. Untuk mengakses m-BCA pada aplikasi BCA mobile mohon dipastikan nomor HP m-BCA berada pada slot SIM 1, menggunakan jaringan internet dari nomor HP m-BCA yang terdaftar, memiliki ketersediaan pulsa yang cukup serta tidak menggunakan WiFi.
",2026-03-30 05:25:34,4.7.9
a292b0aa-418a-400f-89b2-1672154c2d61,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"kenapa kok sering merah indikator nya , dan itu lama bgt jd kl mau dibuat transaksi gak bisa. SUDAH DI RESTART juga masih tetap belum bisa, sampai kl mau bayar Qris atau tf di depan org nya sampek malu, hp bolak2 di restart , kayak nggak ngerti teknologi.",1,0,4.7.9,2026-03-30 04:59:48,"Mohon maaf atas kendala yang Bapak/Ibu alami. Untuk mengakses m-BCA pada aplikasi BCA mobile mohon dipastikan nomor HP m-BCA berada pada slot SIM 1, menggunakan jaringan internet dari nomor HP m-BCA yang terdaftar, memiliki ketersediaan pulsa yang cukup serta tidak menggunakan WiFi.
",2026-03-30 05:27:50,4.7.9
3a6844b6-5006-4cb6-9a8a-a90a8de96669,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"apk nya ngeleg""",1,0,,2026-03-30 04:50:10,"Mohon maaf atas kendala yang Bapak/Ibu alami. Untuk mengakses m-BCA pada aplikasi BCA mobile mohon dipastikan nomor HP m-BCA berada pada slot SIM 1, menggunakan jaringan internet dari nomor HP m-BCA yang terdaftar, memiliki ketersediaan pulsa yang cukup serta tidak menggunakan WiFi.
",2026-03-30 05:25:15,
6dfba802-7d06-4830-ab15-40dcec38e467,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mudah bgt & aman,5,0,4.7.9,2026-03-30 04:29:42,"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
",2026-03-30 04:32:25,4.7.9
f5ceab55-2680-429d-825c-29ceb00955d8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ok,5,0,4.7.9,2026-03-30 04:05:55,"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
",2026-03-30 04:32:22,4.7.9
033666f8-ff82-447a-b841-8295aee6325b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat mendukung untuk bertransaksi dan melihat mutasi,5,0,4.7.9,2026-03-30 03:39:12,"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
",2026-03-30 04:32:16,4.7.9
6bac4c4e-5e71-4ae4-be0c-d953d691642e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,paling top 👍👍👍👍,5,0,4.7.9,2026-03-30 02:32:08,"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.

",2026-03-30 03:34:41,4.7.9
a4fac506-f583-4350-a549-49dc6d58aec0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus,5,0,,2026-03-30 02:06:57,"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
",2026-03-30 03:33:58,
22f79c59-b381-485b-bfc1-e64b07c1eff1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ini kenapa gabisa instal,1,0,4.5.7,2026-03-30 01:29:52,"Mohon maaf atas ketidaknyamanannya Bapak/Ibu. Untuk kendala tersebut mohon dipastikan jaringan internet stabil, tidak menggunakan WiFI dan ruang memori penyimpanan pada perangkat yang digunakan mencukupi. Bapak/Ibu dapat mencoba secara berkala.",2026-03-30 03:33:15,4.5.7
5d1d5088-caaa-47f5-8e25-433cb554069a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,enakan persi terdahulu nyaman di pake skarang banyak bug da lemot ktika mau di pake transaksi,1,0,,2026-03-30 01:29:12,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, mohon dapat informasikan detail kendala yang dimaksud agar kami informasikan lebih lanjut sesuai kebutuhan.
",2026-03-30 03:31:45,
ca6cb18c-1024-4287-ae7f-f78cc5199108,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,keren,5,0,,2026-03-29 23:11:14,"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
",2026-03-30 01:18:15,
6a1e4603-87dd-40f6-b976-36411ac844ee,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus,5,0,4.7.9,2026-03-29 18:51:55,"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
",2026-03-29 18:56:19,4.7.9
d4c75e93-9cb8-4c5e-ab78-b8f0d559f344,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"selalu berkendala sama ( INDIKATOR SAMPAI HIJAU). padahal sinyal hp saya bagus dan saya transaksi pakai aplikasi lain lancar"" aja. giliran bca mobile selalu bikin helaa napas",1,0,4.7.9,2026-03-29 18:34:38,"Mohon maaf atas ketidaknyamanan yang Bapak/Ibu alami. Saat ini tidak ada informasi kendala akses BCA mobile. Untuk mengakses BCA mobile mohon dipastikan nomor handphone yang terdaftar berada pada slot SIM 1, menggunakan jaringan internet dari nomor handphone yang terdaftar, tidak menggunakan WiFi. Bapak/Ibu dapat mencoba secara berkala.",2026-03-29 18:55:57,4.7.9
b9835811-1bbc-4220-bdb1-55520fb5238d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Woiii...lg knpa si ni Tiba2 daftar rekening transfer hilang... Mau d masukin lg..tpi udh trdaftar...tpi d daftar transfer gk ada Anehhhhhhh....anehhhhhhh Ada2 aja mulu kendala nyaa.... Ngerasa gk si bnyak yg ngeluh... Gk ada pkiran nya apa ya,5,1,4.7.9,2026-03-29 18:04:16,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan Twitter @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.",2026-03-30 01:17:16,4.7.9
87406340-01dc-4ce7-a72e-3c9c160bde01,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Agar lebih di perbaiki,5,0,4.7.9,2026-03-29 16:14:59,"Terima kasih atas ulasannya. Hal ini menjadi masukan bagi kami untuk pengembangan aplikasi BCA mobile demi kemudahan dan kenyamanan Bapak/Ibu.
",2026-03-29 16:25:26,4.7.9
86f45b89-5ccc-4974-b17f-0c0c84a76c97,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ini kenapa ganguan 205 mulu gk jelas banget,1,0,4.7.9,2026-03-29 15:50:33,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, jika terdapat respons 205 mohon memastikan kembali BCA mobile Bapak/Ibu benar terhubung dengan SIM card nomor HP yang telah didaftarkan m-BCA, jika menggunakan HP dengan dual SIM card, SIM card m-BCA diletakan pada slot utama, tidak mengganti-ganti slot utama yang digunakan untuk nomor HP m-BCA.",2026-03-29 16:24:09,4.7.9
29d37c95-46b2-4bd2-9161-d2bb0edbca36,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sering sekali pas mau bayar sesuatu sinyal nya merah ,harus matiin hp dulu baru bisa hijau sinyal nya",3,0,4.7.9,2026-03-29 15:40:16,"Apabila lampu indikator tersebut selalu berwarna merah, mohon kesediaan Bapak/Ibu dapat memastikan koneksi internet yang dipergunakan dalam kondisi kuat dan stabil, atau dapat mempergunakan koneksi internet lainnya sebagai perbandingan seperti Wifi atau koneksi internet langsung dari SIM Card yang digunakan untuk aplikasi BCA mobile.",2026-03-29 16:23:18,4.7.9
a38f7bee-0550-453f-9a34-53038f49269f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantap,5,0,,2026-03-29 15:16:09,"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
",2026-03-29 15:28:40,
ff0b4e2f-30d7-4f18-9d12-02219acea74a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tranfer antar bank sering error giliran antar rekening langsung ijo. pengelola sampah,1,0,4.7.9,2026-03-29 13:32:32,"Mohon maaf atas ketidaknyamanan yang Bapak/Ibu alami. Saat ini tidak ada informasi kendala transaksi melalui BCA mobile. Untuk mengakses BCA mobile mohon dipastikan nomor handphone yang terdaftar berada pada slot SIM 1, menggunakan jaringan internet dari nomor handphone yang terdaftar, tidak menggunakan WiFi. Bapak/Ibu dapat mencoba secara berkala.",2026-03-29 14:05:55,4.7.9
dc58de2a-b0f2-4b4c-84d3-fcd64b24e0df,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ok,5,0,4.7.9,2026-03-29 12:58:17,Thank you for the review. Hopefully the BCA mobile application will make your banking transactions easier.,2026-03-29 14:04:27,4.7.9
122b9d3b-f122-48b3-b1c0-54e54cf52923,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Susa amat buat Qris di cek internet bagus, dicoba buka apk lain bagus,pak mau QRIS sama TF susah benerr,tolong di perbaikilah",1,0,4.7.9,2026-03-29 12:30:18,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan X (Twitter) @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.",2026-03-29 12:48:54,4.7.9
d6bcfc0c-e9d0-4115-97f6-c110a9d5ba41,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ter indah tiasa 2 nya....,5,0,4.7.9,2026-03-29 12:05:14,"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
",2026-03-29 12:48:28,4.7.9
d795e116-5f04-47d8-866c-5592036801d4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,dengan BCA mobile transaksi lebih mudah ga pake ngantridulu sebelum ada BCA mobile kalo maukirim uang harus jln dulu nganti lagi d ATM terimakasih BCA mobile,5,0,4.7.9,2026-03-29 11:39:58,"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.
",2026-03-29 11:44:30,4.7.9
a210fcc0-b3ed-4da5-bd31-287327b008bb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,BCA Mobile memang luar biasa OK🙏🙏👍🤣🤣,5,0,4.7.9,2026-03-29 11:39:20,"Terima kasih atas ulasannya. Semoga aplikasi BCA mobile semakin mempermudah transaksi perbankan Bapak/Ibu.

",2026-03-29 11:42:58,4.7.9
8cf86e52-b7ee-457c-b642-1cbb6114d319,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"selesai hp di reset apk mbanking bca ga bisa d buka LG,,knp bisa SPT itu",1,0,4.7.9,2026-03-29 11:18:23,"Mohon maaf atas ketidaknyamanan Bapak/Ibu, untuk kendala tersebut mohon dapat menginformasikan detail gambar kendala yang dialami ke layanan X (Twitter) @HaloBCA atau Email halobca@bca.co.id atau Halo BCA Chat: akses melalui www.bca.co.id atau WhatsApp BCA 08111500998 agar dibantu lebih lanjut.",2026-03-29 11:43:48,4.7.9
